player_name,country,tour,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Sargent, Gordon",#N/A,#N/A,9,1,0,0,28,0,-9999,-9999,-9999,-9999,-9999,-0.186942857
"Whaley, Vince",0,0,14,0,0,0,46,27,0.152912222,0.088100741,-0.283088519,-0.57463,-0.769617778,-0.189111957
"Capan III, Frankie",#N/A,#N/A,12,0,0,0,40,0,-9999,-9999,-9999,-9999,-9999,-0.200584
"Thorbjornsen, Michael",0,0,9,1,0.003,0,29,4,0.57263,1.01466,0.20067,-0.0345525,1.1807775,-0.201281034
"Sampson Yunhe, Zheng",0,0,9,0,0,0,28,0,-9999,-9999,-9999,-9999,-9999,-0.208137143
"Kuchar, Matt",0,0,14,0,0,0,38,35,0.570982286,0.259263143,-0.810056571,-0.236743714,-0.787537143,-0.210094211
"Anderson, Matthew",#N/A,#N/A,7,1,0,0,24,2,-0.825525,-1.236415,-0.185845,0.07367,-1.34859,-0.21127125
"Castillo, Ricky",0,0,14,0,0,0,48,2,-2.800145,-0.18949,2.06701,0.729925,2.607445,-0.211347292
"Hall, Harry",0,0,15,0,0,0,49,41,-0.088382927,0.300290976,-0.131197317,-0.239765122,-0.070671463,-0.217205714
"Duncan, Tyler",0,0,13,0,0,0,42,32,-0.335368438,0.04704625,-0.29575875,0.302494688,0.053782188,-0.217584524
"Andersen, Mason",0,0,13,1,0.001,0,44,0,-9999,-9999,-9999,-9999,-9999,-0.224356136
"Cockerill, Aaron",0,0,14,0,0.003,0,50,20,0.1567935,0.2950345,0.308133,-0.3933815,0.209786,-0.2277574
"Sullivan, Andy",0,0,17,0,0.001,0,56,18,-0.087008889,-0.704392778,-0.32344,-0.246496667,-1.274329444,-0.22801
"Van Driel, Darius",0,0,13,1,0,0,46,12,-0.325106667,-0.1498525,0.002455,-0.511948333,-0.659345833,-0.228154783
"Hill, Calum",0,0,14,0,0.001,0,53,26,0.281515769,-0.115599231,-0.191784615,-0.136559231,-0.443943077,-0.230358679
"Merritt, Troy",0,0,15,0,0,0,47,36,-0.084680556,0.189763333,0.095539722,-0.171271389,0.114031667,-0.249467872
"Ferguson, Ewen",0,0,13,0,0,0,42,15,-0.852020667,-0.033852,1.133366,0.004076667,1.103590667,-0.252852381
"Jamieson, Scott",0,0,14,0,0.001,0,45,18,0.556112222,0.467283889,-0.707439444,-0.142412778,-0.382568333,-0.262220667
"Guerrier, Julien",0,0,11,0,0.008,0,37,22,0.136002727,-0.117922727,-0.223583636,0.14395,-0.197556364,-0.267978378
"Fowler, Rickie",0,0,15,0,0,0,52,49,-0.250458571,0.213103469,-0.031147755,-0.25536449,-0.073408776,-0.268221538
"Shelton, Robby",0,0,14,0,0.001,0,45,42,-0.15487,0.360971667,-0.016343571,-0.606925952,-0.262297857,-0.27057
"Du Plessis, Hennie",0,0,10,0,0,0,36,16,-0.840750625,-0.292663125,0.6990125,0.236569375,0.64291875,-0.277211389
"Coussaud, Ugo",0,0,16,0,0.002,0,55,22,0.704658636,0.010788636,-0.650495455,-0.150188636,-0.789895455,-0.28032
"Hataji, Takahiro",#N/A,#N/A,8,2,0.018,0,30,0,-9999,-9999,-9999,-9999,-9999,-0.285375333
"Campos, Rafael",0,0,12,0,0,0,36,23,-0.437693043,-0.38121087,0.144181739,0.046201304,-0.190827826,-0.286269722
"Phillips, Trent",#N/A,#N/A,13,0,0.001,0,44,0,-9999,-9999,-9999,-9999,-9999,-0.288456591
"Moller, Niklas Norgaard",0,0,14,0,0.009,0,49,24,-0.426887083,-0.096099167,0.229367917,1.060734583,1.194003333,-0.28848102
"Steele, Brendan",0,0,8,1,0.008,0,24,0,-9999,-9999,-9999,-9999,-9999,-0.291815417
"Celia, Ricardo",#N/A,#N/A,3,0,0,0,11,0,-9999,-9999,-9999,-9999,-9999,-0.305305455
"Ward, Dalton",#N/A,#N/A,9,0,0,0,28,2,1.04792,-1.659215,-0.82723,-0.272715,-2.75916,-0.309285357
"Li, Haotong",0,0,11,0,0.001,0,39,18,0.464558889,-1.293838889,0.923352778,0.148467222,-0.222018889,-0.311435385
"Kokrak, Jason",0,0,9,0,0.001,0,28,0,-9999,-9999,-9999,-9999,-9999,-0.312495714
"Neergaard-Petersen, Rasmus",#N/A,#N/A,13,2,0,0,46,4,-1.6434925,-0.031035,0.0775725,0.5512125,0.59775,-0.313542609
"McDowell, Graeme",0,0,9,0,0.001,0,26,0,-9999,-9999,-9999,-9999,-9999,-0.328433077
"Schaper, Jayden",0,0,17,0,0,0,58,22,0.410892727,-0.408486818,-0.415234091,0.229455455,-0.594265455,-0.332825862
"Molinari, Francesco",0,0,9,0,0.005,0,24,21,-0.133745714,-0.004726667,0.103343333,-0.212549524,-0.113932857,-0.333357083
